OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,YearRemodAdd,GarageArea,TotRmsAbvGrd,SalePrice
8,1656,3,1656,1656,2006,2,2006,826,7,249700
4,1452,0,736,736,1920,2,2008,0,8,113000
5,955,1,955,955,1966,1,1966,386,6,127000
6,1470,2,794,794,1997,2,1997,388,6,177000
6,1176,2,816,816,1934,1,1950,528,6,114500
5,816,2,816,816,1963,1,1963,516,5,110000
9,1842,3,1842,1842,1981,0,1987,894,5,385000
5,1360,2,384,1360,1955,1,1955,572,6,130000
6,1425,2,1425,1425,1964,2,1964,576,7,180500
8,1739,2,970,983,1999,2,2000,480,7,172500
7,1720,2,860,860,2004,2,2004,565,7,196500
10,2945,3,1410,1426,2006,3,2006,641,10,438780
5,780,1,780,780,1972,1,1972,352,4,124900
6,1158,2,1158,1158,2004,1,2004,576,5,158000
5,1111,1,530,581,1920,1,1996,288,6,101000
8,1370,2,1370,1370,2006,2,2006,484,6,202500
7,1710,2,576,902,1921,2,1950,480,9,140000
7,2034,2,1057,1057,1997,2,1998,645,8,219500
8,2473,3,1143,1143,2004,2,2005,852,9,317000
7,2207,2,1947,2207,1970,2,1989,576,7,180000
7,1479,2,1453,1479,2003,2,2003,558,7,226000
4,747,1,747,747,1945,1,1950,220,4,80000
7,2287,2,1304,1304,1953,2,1953,667,7,225000
7,2223,2,2223,2223,1973,2,1973,516,8,244000
4,845,2,845,845,1982,1,2006,360,4,129500
7,1718,2,832,885,1998,2,1998,427,7,185000
5,1086,2,1086,1086,1954,1,2003,490,6,144900
3,1605,1,840,840,1915,2,1950,379,8,107400
4,988,1,462,526,1973,1,1973,297,5,91000
4,952,1,952,952,1956,1,1956,283,4,135750
5,1285,1,672,1072,1948,1,2001,240,6,127000
4,1768,0,1768,1768,1968,2,1968,0,8,136500
5,1230,2,440,682,1910,1,1981,440,5,110000
6,2142,1,896,1182,1968,2,1968,509,8,193500
6,1337,2,1237,1337,1998,2,1998,405,5,153500
8,1563,3,1563,1563,2007,2,2007,758,6,245000
5,1065,2,1065,1065,1960,1,1960,461,6,126500
7,1474,2,384,804,1995,2,1996,400,7,168500
8,2417,2,1288,1301,1991,2,1992,462,9,260000
6,1560,2,684,684,2005,2,2005,400,6,174000
6,1224,2,612,612,2009,2,2009,528,4,164500
3,1526,0,1013,1013,1915,1,1982,0,6,85000
4,990,0,990,990,1994,1,1995,0,5,123600
4,1040,2,0,1040,1950,1,1950,420,4,109900
5,1235,2,1235,1235,1961,1,1961,480,6,98600
5,964,2,876,964,1921,1,2006,432,5,163500
6,2291,2,1214,1260,1910,2,1998,506,9,133900
6,1786,2,824,905,1997,2,1997,684,7,204750
6,1470,2,680,680,1993,2,1993,420,6,185000
7,1588,2,1588,1588,1999,2,1999,472,6,214000
4,960,1,960,960,1965,1,1965,432,6,94750
5,835,1,458,835,1920,1,1950,366,5,83000
4,1225,0,950,1225,1959,1,1959,0,6,128950
6,1610,2,1610,1610,1977,2,2001,480,6,205000
6,1732,2,741,977,1985,2,1985,476,7,178000
5,1535,2,0,1535,1979,2,1979,410,8,118964
7,1226,3,1226,1226,2009,2,2009,740,6,198900
7,1818,1,1040,1226,1931,1,1950,240,7,169500
8,1992,2,1053,1053,2003,2,2004,648,9,250000
4,1047,1,641,1047,1885,1,1995,273,6,100000
5,789,1,789,789,1948,1,1950,250,5,115000
5,1517,0,793,997,1919,2,2005,0,7,115000
6,1844,2,1844,1844,1977,2,1977,546,7,190000
6,1855,1,994,1216,1954,2,1972,325,7,136900
7,1430,2,384,774,2000,2,2000,400,7,180000
7,2696,3,1264,1282,2007,2,2007,792,10,383970
6,2259,2,1809,2259,1953,2,1953,450,7,217000
6,2320,1,1028,1436,1945,2,2002,180,9,259500
6,1458,2,729,729,1999,2,1999,440,5,176000
5,1092,1,1092,1092,1962,1,1962,288,6,139000
5,1125,2,1125,1125,2006,1,2007,430,5,155000
7,3222,3,1673,1699,1990,3,1990,594,11,320000
6,1456,2,728,728,2005,2,2006,390,8,163990
6,988,2,938,988,1969,1,1969,540,4,180000
4,1123,1,732,772,1939,1,1950,264,4,100000
6,1080,1,1080,1080,1958,1,1958,288,5,136000
6,1199,2,1199,1199,1993,2,1993,530,5,153900
6,1586,2,1362,1586,1979,2,1998,435,7,181000
6,754,0,520,520,1935,1,1982,0,5,84500
6,958,2,1078,958,1976,2,1976,440,5,128000
5,840,0,672,840,1930,1,1950,0,5,87000
6,1348,2,660,660,1966,1,1966,453,6,155000
5,1053,2,1008,1053,1958,1,1991,750,6,150000
7,2157,2,924,1216,1966,2,1966,487,8,226000
6,2054,2,992,1022,2000,2,2000,390,7,244000
5,1327,2,1063,1327,1959,1,2002,624,7,150750
8,1296,2,1267,1296,2001,2,2002,471,6,220000
5,1721,2,1461,1721,1968,2,1993,440,7,180000
7,1682,2,1304,1682,1970,2,1970,530,7,174000
5,1214,1,1214,1214,1967,2,1967,318,5,143000
7,1959,3,1907,1959,1988,3,1989,766,9,171000
8,1852,3,1004,1004,1999,2,2000,660,7,230000
6,1764,2,928,928,1997,2,1997,470,7,231500
4,864,0,864,864,1971,1,1971,0,5,115000
7,1734,2,1734,1734,2005,2,2005,660,7,260000
5,1385,2,910,910,1952,2,1952,720,6,166000
7,1501,2,1490,1501,1999,2,1999,577,6,204000
5,1728,2,1728,1728,1963,2,1963,504,10,125000
6,1709,2,970,970,2004,2,2006,380,7,130000
5,875,1,715,875,1931,1,1993,180,5,105000
7,2035,2,884,884,2001,2,2001,434,8,222500
7,1080,0,1080,1080,2004,1,2005,0,6,141000
5,1344,1,896,896,1936,1,1950,240,7,115000
5,969,2,969,969,1975,1,1975,440,5,122000
8,1710,3,1710,1710,2007,2,2008,866,6,372402
6,1993,2,825,1097,1971,2,1971,495,8,190000
6,1252,2,1602,1252,1960,1,1975,564,4,235000
6,1200,1,1200,1200,1923,1,1950,312,7,125000
6,1096,0,572,572,1924,1,1950,0,5,79000
5,1040,2,0,1040,1950,1,1950,625,5,109500
8,1968,3,774,774,2009,2,2010,680,8,269500
7,1947,2,991,991,2004,2,2005,678,8,254900
7,2462,2,1392,1392,2005,2,2006,576,9,320000
6,1232,2,1232,1232,1984,2,1984,516,6,162500
9,2668,3,1572,1572,2003,2,2004,726,10,412500
7,1541,2,1541,1541,2005,2,2005,532,7,220000
4,882,0,882,882,1956,1,1956,0,4,103200
6,1616,1,1149,1149,1926,2,2004,216,5,152000
5,1355,0,644,808,1940,2,1999,0,6,127500
5,1867,1,1617,1867,1955,1,1993,303,7,190000
8,2161,3,1582,1610,2007,1,2007,789,8,325624
7,1720,2,840,840,2004,2,2004,440,7,183500
8,1707,2,1686,1707,1981,2,1981,511,6,228000
5,1382,2,720,854,1941,1,1950,660,7,128500
6,1656,2,1080,1656,1960,1,1960,528,7,215000
7,1767,2,1064,1064,1987,2,1987,504,5,239000
6,1362,2,1362,1362,1961,1,1961,504,6,163000
6,1651,2,1606,1651,1986,2,1986,616,7,184000
6,2158,2,1202,2158,1950,2,2001,576,7,243000
6,2060,2,1151,1164,1988,2,1989,521,8,211000
5,1920,2,1052,1252,1958,2,1958,451,8,172500
9,2234,3,2216,2234,2008,2,2009,1166,9,501837
5,968,2,968,968,1923,1,2006,480,5,100000
6,1525,2,756,769,2000,2,2000,440,5,177000
7,1802,1,793,901,1920,1,1950,216,9,200100
5,1340,1,0,1340,1957,1,2006,252,7,120000
7,2082,2,1362,1362,2003,2,2003,484,6,200000
5,1252,2,504,936,1908,1,1991,576,5,127000
10,3608,3,1107,1518,1892,2,1993,840,12,475000
7,1217,2,1188,1217,1990,2,1991,497,6,173000
5,1656,1,660,808,1916,2,1987,180,8,135000
5,1224,2,1086,1224,1979,0,1979,528,6,153337
8,1593,2,1593,1593,2001,1,2002,682,5,286000
8,2727,2,853,1549,1932,2,1994,440,10,315000
7,1479,2,725,725,1972,1,2004,484,7,184000
7,1431,2,1431,1431,1999,2,1999,666,6,192000
7,1709,2,970,970,2004,2,2004,380,7,130000
5,864,1,864,864,1972,1,1972,352,5,127000
6,1456,2,855,855,1976,2,1976,440,7,148500
7,1726,3,1726,1726,2007,2,2007,786,8,311872
8,3112,2,1360,1360,1918,2,1990,795,8,235000
6,2229,0,755,929,1912,1,1950,0,8,104000
8,1713,3,1713,1713,2004,2,2005,856,7,274900
4,1121,2,1121,1121,2003,2,2004,440,5,140000
6,1279,2,1196,1279,1977,2,1977,473,6,171500
6,1310,1,617,865,1924,2,1950,398,6,112000
6,848,2,848,848,2004,1,2004,420,3,149000
5,1284,1,720,720,1947,1,1950,240,5,110000
7,1442,2,1424,1442,1990,2,1990,500,5,180500
5,1696,1,1140,1696,1962,1,1962,349,8,143900
4,1100,1,1100,1100,1960,1,1960,312,6,141000
7,2062,2,1157,1180,1988,2,1989,454,7,277000
6,1092,2,1092,1092,1964,1,1964,504,6,145000
5,864,0,864,864,1925,1,1950,0,5,98000
6,1212,2,1212,1212,2009,2,2009,460,6,186000
7,1852,2,900,932,2009,2,2009,644,7,252678
5,990,2,990,990,1995,1,1995,576,5,156000
6,1392,1,689,689,1977,1,1977,299,6,161750
5,1236,1,1070,1236,1957,1,1996,447,6,134450
7,1436,2,1436,1436,2004,2,2004,484,8,210000
4,1328,1,686,810,1925,1,1950,210,8,107000
7,1954,2,798,1137,1939,1,2006,431,8,311500
7,1248,2,1248,1248,2005,2,2006,438,5,167240
7,1498,2,1498,1498,2006,2,2006,675,5,204900
6,2267,2,1010,1010,2002,2,2002,390,8,200000
6,1552,2,713,811,1975,2,1975,434,6,179900
4,864,2,864,864,1971,1,1971,576,4,97000
10,2392,3,2392,2392,2003,2,2003,968,8,386250
5,1302,1,630,630,1971,2,1971,280,6,112000
7,2520,3,1203,1214,1995,2,1995,721,9,290000
6,987,1,483,483,1970,1,1970,280,5,106000
5,912,1,912,912,1967,1,1967,336,5,125000
7,1555,2,1373,1555,2005,2,2006,430,7,192500
6,1194,1,1194,1194,1959,1,1959,312,6,148000
8,2794,3,1462,1490,1995,2,1996,810,9,403000
6,987,1,483,483,1972,1,1972,288,5,94500
5,894,1,894,894,1976,1,1976,308,5,128200
6,1960,2,860,860,2002,2,2002,440,8,216500
6,987,1,483,483,1971,1,1971,264,5,89500
7,1414,2,1414,1414,2004,2,2004,494,6,185500
7,1744,2,996,1014,1993,2,2003,457,7,194500
8,1694,3,1694,1694,2007,2,2007,818,7,318000
6,1487,1,735,798,1945,1,1950,220,7,113000
8,1566,2,1566,1566,2008,2,2008,750,7,262500
5,866,0,686,866,1945,1,1997,0,4,110500
5,1440,1,540,889,1900,1,1950,352,6,79000
6,1217,1,626,626,1980,1,1980,288,6,120000
7,2110,2,948,1222,1994,2,2002,463,8,205000
7,1872,2,1845,1872,1988,2,1988,604,6,241500
6,1928,1,1020,908,1910,2,1950,440,9,137000
6,1375,2,1367,1375,1954,1,1954,451,5,140000
7,1668,2,840,840,2003,2,2003,500,8,180000
6,2144,2,1444,1444,1958,2,2006,389,7,277000
3,1306,0,728,1306,1940,1,1966,0,6,76500
8,1625,2,1573,1625,2006,2,2007,538,5,235000
6,1640,2,798,798,2004,2,2004,520,6,173000
6,1302,1,1302,1302,1964,2,1991,309,7,158000
5,1314,1,1314,1314,1957,1,1957,294,5,145000
7,2291,2,975,1005,1999,2,1999,429,8,230000
6,1728,2,864,864,2003,2,2003,673,7,207500
7,1604,2,1604,1604,2006,2,2006,660,8,220000
7,1792,2,963,963,2001,2,2001,564,7,231500
5,882,1,0,882,1956,1,1956,308,4,97000
6,1382,2,1362,1382,1962,1,1962,884,6,176000
8,2574,3,1482,1482,2007,2,2007,868,10,276000
6,1212,2,506,1212,1977,1,1995,492,6,151000
5,1316,2,926,926,1929,1,2001,484,6,130000
5,764,2,680,764,1925,1,2004,504,4,73000
6,1422,2,1422,1422,1981,2,1981,576,7,175500
6,1511,2,802,802,1997,2,1997,413,8,185000
5,2192,1,720,1052,1939,2,1997,240,8,179500
5,778,1,740,778,1940,1,1955,924,4,120500
6,1113,1,1143,1113,1976,1,1976,504,6,148000
8,1939,3,1095,1095,2006,2,2006,1053,8,266000
7,1363,2,1385,1363,1954,1,2005,439,5,241500
8,2270,3,1152,1164,1999,2,2007,671,9,290000
6,1632,1,1240,1632,1958,2,1988,338,6,139000
5,816,1,816,816,1982,1,1982,264,5,124500
7,1548,2,952,952,1925,2,2007,672,5,205000
7,1560,2,1560,1560,2003,2,2003,573,7,201000
4,864,2,864,864,1951,1,1951,400,4,141000
9,2121,3,2121,2121,2006,2,2007,732,8,415298
7,2022,2,1160,1156,1977,2,1977,505,8,192000
7,1982,2,807,1175,1989,2,1989,575,7,228500
6,1262,2,1262,1262,2006,2,2006,572,5,185000
7,1314,2,1314,1314,2007,2,2008,626,6,207500
8,1468,3,1468,1468,2008,2,2009,898,6,244600
6,1575,2,1575,1575,1992,2,1992,529,5,179200
7,1250,2,625,625,2006,2,2007,528,5,164700
6,1734,2,912,1085,1962,1,1981,440,7,159000
4,858,0,858,858,1971,1,1971,0,5,88000
5,900,1,882,900,1967,1,1967,280,5,122000
6,1396,1,698,698,1915,1,2003,384,7,153575
8,1919,2,1079,1079,2006,2,2006,685,8,233230
5,1716,0,780,936,1912,2,2000,0,9,135900
5,1716,1,768,1148,1949,1,2008,281,8,131000
7,2263,2,795,1468,1977,2,1994,539,9,235000
6,1644,2,1416,1644,1953,1,1953,418,7,167000
6,1003,2,1003,1003,1984,1,1984,588,6,142500
5,1558,1,910,910,1950,1,1950,282,6,152000
7,1950,2,975,975,1997,2,1998,576,7,239000
6,1743,2,702,1041,1968,1,1968,539,7,175000
6,1152,1,1092,1152,1950,1,2004,300,6,158500
5,1336,1,1165,1336,1953,1,1953,375,5,157000
8,2452,2,1028,1210,1998,2,1999,683,9,267000
7,1541,3,1541,1541,2001,2,2002,843,6,205000
5,894,2,894,894,1972,1,1972,552,5,149900
7,3493,3,1470,1675,1880,3,2002,870,10,295000
8,2000,3,2000,2000,2004,2,2005,888,8,305900
7,2243,3,700,1122,1990,2,1991,746,8,225000
6,1406,0,319,1035,1920,1,1950,0,6,89500
4,861,2,861,861,1940,1,1950,539,4,82500
9,1944,3,1896,1944,2003,2,2004,708,8,360000
6,1501,2,697,697,1993,2,1994,420,6,165600
6,972,1,972,972,1948,1,2002,240,5,132000
5,1118,2,793,793,1939,1,1950,410,5,119900
7,2036,2,2136,2036,1965,2,1965,513,8,375000
7,1641,2,728,832,1925,1,1990,546,6,178000
7,1432,2,716,716,2004,2,2005,432,6,188500
7,2353,2,845,1153,1980,2,1980,484,10,260000
8,1959,3,1088,1088,2006,2,2006,1025,8,270000
7,2646,3,1347,1372,1993,2,1993,656,9,260000
7,1472,2,1372,1472,1980,2,1980,588,6,187500
9,2596,3,1249,1249,2006,3,2006,840,9,342643
8,2468,3,1136,1136,2004,2,2004,872,10,354000
7,2730,2,1502,1553,1986,2,1987,576,8,301000
3,1163,1,1162,1163,1955,1,2005,220,6,126175
7,2978,2,710,1898,1967,2,2007,564,11,242000
5,803,2,720,803,1941,1,1950,360,5,87000
8,1719,2,1719,1719,1993,1,1993,473,6,324000
6,1383,1,1383,1383,1960,1,1960,292,7,145250
6,2134,2,844,1445,1916,2,1994,441,10,214500
5,1192,1,596,596,1920,1,1950,189,6,78000
5,1728,1,1728,1728,1964,2,1964,352,10,119000
5,1056,1,1056,1056,1958,1,1992,308,6,139000
8,1629,3,3206,1629,2003,2,2004,880,7,284000
7,1358,2,1358,1358,2004,2,2004,484,6,207000
6,1638,2,943,943,1998,2,1998,472,7,192000
5,1786,2,1499,1619,1965,2,1965,529,7,228950
9,1922,3,1922,1922,2005,2,2006,676,8,377426
7,1536,2,1536,1536,2002,2,2003,532,7,214000
7,1621,2,1208,1621,1984,2,1998,440,8,202500
6,1215,1,1215,1215,1958,1,1998,297,6,155000
8,1908,2,967,993,2002,2,2002,431,9,202900
4,841,1,721,841,1950,1,1950,294,4,82000
3,1040,2,0,1040,1949,2,1950,400,6,87500
9,1684,2,1684,1684,2005,2,2005,564,6,266000
5,1112,1,536,536,1976,1,1976,336,4,85000
6,1577,1,972,972,1939,1,1950,312,6,140200
6,958,1,958,958,1960,1,1998,301,5,151500
6,1478,2,1478,1478,1960,2,1960,498,6,157500
7,1626,2,764,764,2003,2,2004,474,6,154000
9,2728,3,1848,1848,2005,2,2006,706,10,437154
9,1869,2,1869,1869,2007,2,2007,617,6,318061
7,1453,2,1453,1453,1986,1,1986,445,6,190000
5,1111,1,616,616,1941,1,1950,200,5,95000
6,720,2,624,720,1928,1,2003,484,5,105900
6,1595,1,940,1192,1940,1,2000,240,6,140000
6,1200,2,1200,1200,1995,2,1995,521,6,177500
6,1167,2,1158,1167,1992,2,1992,400,6,173000
5,1142,2,1142,1142,1976,1,1976,528,6,134000
5,1352,1,1062,1352,1958,1,1958,288,6,130000
8,1924,2,1086,1086,1998,2,1998,592,7,280000
6,912,2,888,912,1978,1,1978,470,5,156000
5,1505,1,883,988,1940,1,1982,240,8,145000
7,1922,2,0,495,2003,3,2003,672,7,198500
6,987,1,483,483,1972,1,2007,264,5,118000
6,1574,2,796,790,1976,2,1976,566,6,190000
5,1344,1,672,672,1920,1,1997,468,6,147000
6,1394,2,1394,1394,1963,1,1963,514,6,159000
6,1431,1,1099,1431,1962,1,1962,296,6,165000
5,1268,1,1268,1268,1954,1,1954,244,7,132000
5,1287,2,1063,1287,1959,1,2006,576,7,162000
6,1664,2,953,953,2000,2,2000,460,7,172400
4,1588,2,0,1120,1959,2,1959,680,7,134432
6,752,1,744,752,1984,1,1984,264,4,125000
5,1319,1,608,1319,1953,1,1953,270,5,123000
7,1928,2,847,847,2003,2,2004,434,8,219500
1,904,0,683,904,1922,0,1950,0,4,61000
5,914,2,870,914,1996,1,1996,576,5,148000
8,2466,2,1580,1580,2004,3,2005,610,8,340000
9,1856,3,1856,1856,2010,1,2010,834,8,394432
6,1800,2,982,1007,2000,2,2000,463,7,179000
5,1691,1,1026,1026,1924,2,1950,308,6,127000
7,1301,2,1293,1301,2006,2,2006,572,5,187750
7,1797,2,939,939,2006,2,2006,639,8,213500
6,784,2,784,784,1928,1,1950,360,5,76000
6,1953,2,1580,1079,1992,2,1992,501,9,240000
8,1269,2,1256,1269,2004,2,2005,430,6,192000
5,1184,0,658,658,1910,1,1996,0,8,81000
6,1125,1,1041,1125,1976,1,1976,352,6,125000
7,1479,2,1468,1479,1999,2,2000,577,6,191000
10,2332,3,1682,1742,2007,2,2008,846,9,426000
5,1367,1,861,961,1900,1,1950,384,7,119000
6,1961,2,804,804,2001,2,2002,560,7,215000
5,882,1,0,882,1959,1,1959,294,5,106500
4,788,0,788,788,1941,1,1950,0,4,100000
5,1034,1,735,735,1940,1,1950,240,5,109000
5,1144,1,1144,1144,1956,1,1956,596,6,129000
5,894,2,894,894,1972,1,1972,600,6,123000
5,1812,1,864,876,1962,2,1962,264,8,169500
5,1077,1,961,1077,1920,1,1950,338,6,67000
7,1550,2,1092,1112,2006,2,2007,438,7,241000
8,1288,2,1260,1288,1996,1,1996,500,4,245500
7,1310,2,1310,1310,2005,2,2005,400,6,164990
5,672,1,672,672,1940,1,1997,240,4,108000
8,2263,2,1141,1165,1998,2,1998,420,10,258000
6,1572,2,806,806,1995,2,1996,373,7,168000
4,1620,2,1281,1620,1976,2,1993,490,8,150000
6,1639,1,1064,1166,1936,1,1950,240,6,115000
6,1680,1,840,840,1915,2,1976,308,8,177000
7,2172,3,1063,1071,2006,2,2006,947,9,280000
8,2078,3,1034,1050,2007,2,2008,836,8,339750
5,1276,1,1276,1276,1958,1,1958,350,5,60000
5,1056,2,1056,1056,1955,1,1955,572,5,145000
7,1478,2,1470,1478,2009,2,2009,484,7,222000
5,1028,2,1008,1028,1927,1,1950,360,5,115000
7,2097,3,1080,1080,1993,2,1993,678,9,228000
7,1340,2,1340,1340,2007,2,2007,396,6,181134
6,1400,2,672,672,1978,1,1978,440,6,149500
6,2624,3,1370,1370,1918,2,1950,864,10,239000
5,1134,1,756,756,1940,1,1950,240,7,126000
5,1056,1,1056,1056,1968,1,1968,304,6,142000
7,1344,4,1344,1344,1997,2,1998,784,8,206300
6,1602,2,1602,1602,1977,2,2000,529,8,215000
5,988,2,988,988,1954,1,1954,520,4,113000
8,2630,3,1470,1470,1998,2,1998,696,8,315000
6,1196,1,1196,1196,1956,1,1956,297,6,139000
7,1389,1,651,707,1946,1,1992,240,6,135000
7,1644,2,1518,1644,1989,2,1989,569,5,275000
4,907,1,907,907,1957,1,1957,352,5,109008
7,1208,2,1208,1208,2007,2,2007,628,6,195400
6,1412,2,1392,1412,1988,2,1988,576,6,175000
6,987,1,483,483,1971,1,1971,264,4,85400
6,1198,0,901,1088,1920,1,1998,0,7,79900
5,1365,2,765,765,1971,1,1971,440,6,122500
6,1604,2,926,926,1997,2,1998,470,7,181000
4,630,0,630,630,1972,1,1972,0,3,81000
7,1661,2,799,827,1996,2,1996,550,6,212000
6,1118,2,648,734,1920,1,1950,440,6,116000
6,904,1,884,904,1926,1,2004,180,4,119000
5,694,1,440,694,1913,1,2002,352,4,90350
6,1196,2,684,684,1920,1,2000,528,7,110000
10,2402,3,3094,2402,2008,2,2008,672,10,555000
4,1440,0,1440,1440,1955,2,1955,0,8,118000
5,1573,2,1078,1128,1930,2,1992,360,8,162900
7,1258,3,1258,1258,2006,2,2007,648,6,172500
7,1908,2,915,933,1994,2,1995,493,8,210000
6,1689,2,1436,1689,1956,1,1956,480,7,127500
6,1888,2,1517,1888,1966,2,2002,578,6,190000
7,1886,2,930,956,1998,2,1999,431,10,199900
6,1376,1,780,780,1937,2,1950,198,7,119500
3,1183,1,649,679,1948,1,2002,308,6,120000
6,813,1,813,813,1930,1,2005,270,5,110000
7,1533,2,1533,1533,1975,2,1975,576,5,280000
6,1756,2,872,888,1996,2,1997,422,7,204000
8,1590,2,768,786,2008,2,2008,676,6,210000
5,1728,2,1728,1728,1976,2,1976,560,8,188000
7,1242,2,1242,1242,1973,1,1973,528,6,175500
5,1344,3,624,624,1916,1,1950,513,7,98000
4,1663,2,1364,1663,1954,1,1994,529,6,256000
8,1666,1,588,833,1925,1,1996,228,7,161000
5,1203,1,709,979,1950,1,1950,352,5,110000
8,1935,2,832,832,2009,2,2009,552,8,263435
7,1135,2,560,575,1936,1,2007,576,6,155000
5,864,1,864,864,1965,1,1965,360,5,62383
6,1660,1,715,849,1934,1,1995,240,6,188700
5,1040,0,1040,1040,1978,2,1978,0,5,124000
7,1414,2,1375,1414,2004,2,2004,398,6,178740
7,1277,2,1277,1277,1970,1,1970,526,5,167000
5,1644,1,728,888,1942,1,1995,312,7,146500
8,1634,3,1626,1634,2006,2,2006,866,7,250000
6,1710,2,832,832,1993,2,1993,506,7,187000
8,1502,2,1488,1502,1985,1,1985,528,4,212000
7,1969,2,808,1161,1977,2,1977,534,8,190000
6,1072,2,547,1072,2005,1,2005,525,5,148000
8,1976,3,1976,1976,2006,2,2007,908,7,440000
8,1652,2,1494,1652,2000,2,2000,499,6,251000
5,970,2,970,970,1963,1,1963,624,5,132500
6,1493,2,1478,1493,1997,2,1998,508,7,208900
9,2643,3,2153,2069,2006,2,2006,694,9,380000
8,1718,3,1705,1718,2007,2,2008,826,7,297000
4,1131,2,907,1131,1937,1,2000,672,7,89471
9,1850,3,1833,1850,2004,2,2005,772,8,326000
9,1792,3,1792,1792,2003,2,2004,874,6,374000
7,1826,1,910,916,1915,1,2005,164,7,155000
6,1216,2,1216,1216,1998,2,1998,402,5,164000
5,999,1,999,999,1962,1,2001,264,6,132500
5,1113,1,1113,1113,1950,1,2007,264,5,147000
5,1073,2,1073,1073,1965,1,1965,515,6,156000
5,1484,2,1484,1484,1971,2,1971,487,7,175000
5,2414,2,954,1766,1900,2,1970,520,10,160000
4,630,1,630,630,1970,1,2002,286,3,86000
5,1304,1,264,616,1976,1,1976,336,4,115000
6,1578,1,806,958,1941,1,1950,240,5,133000
6,1456,2,728,728,2006,2,2006,429,8,172785
5,1269,1,1269,1269,1960,1,1960,308,6,155000
5,886,1,190,886,1938,1,1996,273,4,91300
4,720,0,720,720,1920,1,1950,0,4,34900
8,3228,2,3200,3228,1992,3,1993,546,10,430000
7,1820,1,1026,1133,1925,2,1950,240,8,184000
5,899,1,864,899,1967,1,2004,288,5,130000
5,912,1,912,912,1958,1,1985,297,5,120000
6,1218,1,672,672,1973,1,1973,264,7,113000
7,1768,2,866,866,2005,2,2005,603,7,226700
5,1214,2,1214,1214,1965,1,1965,461,6,140000
7,1801,2,1501,1801,1959,2,1997,484,6,289000
6,1322,2,855,855,1974,2,1974,440,6,147000
5,1960,2,960,960,1952,2,1952,400,10,124500
8,1911,2,777,1065,1993,2,1994,471,8,215000
6,1218,2,1218,1218,2009,2,2009,676,4,208300
7,1378,2,689,689,1928,2,2005,360,7,161000
5,1041,1,1041,1041,1959,1,1959,270,6,124500
5,1363,1,1008,1363,1951,1,2000,288,6,164900
7,1368,2,1368,1368,2005,2,2006,474,6,202665
5,864,2,864,864,1958,1,1958,624,5,129900
